GA,GS
GA1.1.717183780.1734183256,GS1.1.1734183256.1
GA1.1.1053849222.1734183260,GS1.1.1734183259.1
GA1.1.1412439906.1734183263,GS1.1.1734183263.1
GA1.1.642983617.1734183267,GS1.1.1734183267.1
GA1.1.1529760515.1734183271,GS1.1.1734183270.1
GA1.1.2138125326.1734183274,GS1.1.1734183274.1
GA1.1.1545993257.1734183278,GS1.1.1734183277.1
GA1.1.162220406.1734183281,GS1.1.1734183281.1
GA1.1.1610629892.1734183285,GS1.1.1734183284.1
GA1.1.1700954302.1734183289,GS1.1.1734183288.1
GA1.1.1084199455.1734183292,GS1.1.1734183292.1
GA1.1.1444912921.1734183296,GS1.1.1734183295.1
GA1.1.1949019831.1734183300,GS1.1.1734183299.1
GA1.1.1762921980.1734183303,GS1.1.1734183303.1
GA1.1.308479899.1734183307,GS1.1.1734183306.1
GA1.1.1506011984.1734183310,GS1.1.1734183310.1
GA1.1.567810576.1734183314,GS1.1.1734183313.1
GA1.1.329287806.1734183317,GS1.1.1734183317.1
GA1.1.395245728.1734183321,GS1.1.1734183320.1
GA1.1.1084863107.1734183325,GS1.1.1734183324.1
GA1.1.1064184810.1734183328,GS1.1.1734183328.1
GA1.1.2074668948.1734183332,GS1.1.1734183331.1
GA1.1.1355740692.1734183335,GS1.1.1734183335.1
GA1.1.740747404.1734183339,GS1.1.1734183339.1
GA1.1.848372916.1734183343,GS1.1.1734183342.1
GA1.1.420915080.1734183346,GS1.1.1734183346.1
GA1.1.1091060348.1734183350,GS1.1.1734183349.1
GA1.1.1833295138.1734183353,GS1.1.1734183353.1
GA1.1.1525691608.1734183357,GS1.1.1734183356.1
GA1.1.371796640.1734183361,GS1.1.1734183360.1
GA1.1.1212769045.1734183364,GS1.1.1734183364.1
GA1.1.2126358814.1734183368,GS1.1.1734183367.1
GA1.1.575182858.1734183372,GS1.1.1734183371.1
GA1.1.11227236.1734183375,GS1.1.1734183375.1
GA1.1.968761644.1734183379,GS1.1.1734183378.1
GA1.1.1636631840.1734183382,GS1.1.1734183382.1
GA1.1.1657312513.1734183386,GS1.1.1734183385.1
GA1.1.1603402997.1734183390,GS1.1.1734183389.1
GA1.1.1225651344.1734183393,GS1.1.1734183393.1
GA1.1.434818120.1734183397,GS1.1.1734183396.1
GA1.1.1383024340.1734183400,GS1.1.1734183400.1
